scheme_name,detected_themes
AICTE SHORT TERM TRAINING PROGRAMME-SFURTI SCHEME,['Education & Learning']
Consortia & Tender Marketing Scheme,['Business & Entrepreneurship']
Incentive Scheme for MSMEs in Powerloom Sector: State Capital Investment Subsidy,['Business & Entrepreneurship']
Indira Mahila Shakti Udyam Protsahan Yojana,['Business & Entrepreneurship']
Nirman Shramik Jeevan va Bhavishya Suraksha Yojana,['Education & Learning']
Pre-Matric Scholarship for Backward Class Students,['Education & Learning']
Safai Karmakaar Ke Putr/Putri Hetu Vishesh Coaching Yojana,['Education & Learning']
The West Bengal Incentive Scheme: Capacity Utilisation,['Business & Entrepreneurship']
The West Bengal Incentive Scheme: Reimbursement of Stamp Duty and Registration Fee,['Education & Learning']
The West Bengal Incentive Scheme: State Capital Investment Subsidy,['Business & Entrepreneurship']
The West Bengal Incentive Scheme: Tourism Promotion Assistance in lieu of Interest Subsidy,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: Incentive for Energy Efficiency,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: Power Subsidy,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: State Capital Investment Subsidy,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: Subsidy for Water conservation/ Environment Compliance,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: Waiver of Electricity Duty,['Business & Entrepreneurship']
West Bengal Textile Incentive Scheme: Waiver of Fees for Land Conversion and Mutation,['Business & Entrepreneurship']
"""Advance / High Skill Training"" Component of the ""Development of Industries"" Scheme",['Skills & Employment']
"""Advance/High Skill Training in Coir"" Component of the ""Development of Coir"" Scheme",['Education & Learning']
"""Advanced Training in Handicrafts"" Component of the ""Development of Handicrafts"" Scheme",['Education & Learning']
"""Assistance for Technology Acquisition"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",['Business & Entrepreneurship']
"""Capital Investment Subsidy (for New and Existing Industries)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",['Business & Entrepreneurship']
"""Capital Investment Subsidy: 5% Additional Capital Investment Subsidy to Karaikal Region"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
"""Capital Investment Subsidy: Information Technology (IT) / Information Technology Enabled Services (ITES) Industries"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
"""Capital Investment Subsidy: Physically Handicapped Persons/ Ex-Servicemen"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries""",['Business & Entrepreneurship']
"""Capital Investment Subsidy: SC/ST/Women Entrepreneurs"" Component of the ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries"" Scheme",['Business & Entrepreneurship']
"""Entrepreneurship Development Programme"" Component of the ""Development of Coir"" Scheme",['Business & Entrepreneurship']
"""Grant of Margin Money for Availing Capital Loan"" Component of the ""Development of Coir"" Scheme",['Business & Entrepreneurship']
"""Grant of Margin Money for Availing the Capital Loan"" Component of the ""Development of Silk"" Scheme",['Business & Entrepreneurship']
"""Green and Eco-Friendly Measures"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
"""In-Plant Training"" Component of the ""Development of Industries"" Scheme",['Skills & Employment']
"""Infrastructure Development Subsidy (For IT/ITES)"" under ""Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Capital Intensive Industries""",['Business & Entrepreneurship']
"""Innovation in Technology [Product (or) Process]"" under “Motivation of Entrepreneurs to Start Industries and Fiscal Assistance to Industries - State Awards to Micro, Small and Medium Enterprises”",['Business & Entrepreneurship']
